point,numerical_iteration,numerical_gross_mass_kg,numerical_battery_mass_kg,numerical_structure_mass_kg,numerical_propulsion_mass_kg,numerical_total_disk_area_m2,numerical_ideal_induced_power_w,numerical_propulsion_hover_power_w,numerical_total_hover_power_w,numerical_required_nominal_battery_energy_wh,numerical_installed_nominal_battery_energy_wh,numerical_energy_limited_battery_mass_kg,numerical_power_limited_battery_mass_kg,numerical_relative_mass_change
middle,7.0,7.68371209,3.22460423,1.56211158,0.98959819,1.22537338,363.8415352,812.73403324,892.08185933,619.5012912,619.5012912,3.22460423,2.50553496,0.02427387
middle,8.0,7.83474199,3.29768975,1.58640499,1.01421717,1.25585792,372.89309523,832.95303019,912.30085628,633.54226131,633.54226131,3.29768975,2.56534471,0.01927695
middle,9.0,7.95703896,3.35687099,1.60607666,1.03415248,1.28054288,380.22262654,849.32543126,928.67325735,644.91198427,644.91198427,3.35687099,2.61377586,0.01536966
middle,10.0,8.05606935,3.4047932,1.62200586,1.05029515,1.3005316,386.15773926,862.58303831,941.9308644,654.11865583,654.11865583,3.4047932,2.65299315,0.01229264
middle,11.0,8.13625954,3.44359838,1.63490458,1.06336674,1.31671754,390.96371684,873.3184304,952.66625649,661.57378923,661.57378923,3.44359838,2.68474948,0.0098559
middle,12.0,8.20119382,3.475021,1.64534937,1.07395151,1.32982416,394.85537341,882.0114504,961.35927649,667.61060867,667.61060867,3.475021,2.71046427,0.00791766
middle,13.0,8.25377457,3.50046557,1.65380707,1.08252255,1.34043729,398.00665546,889.0506527,968.39847879,672.4989436,672.4989436,3.50046557,2.73128691,0.00637051
middle,14.0,8.29635201,3.5210694,1.66065572,1.08946299,1.34903131,400.55841674,894.75067054,974.09849662,676.45728932,676.45728932,3.5210694,2.74814812,0.00513207
middle,15.0,8.33082924,3.53775342,1.66620143,1.09508303,1.35599034,402.62471406,899.36627923,978.71410532,679.66257314,679.66257314,3.53775342,2.76180154,0.00413851
middle,16.0,8.35874729,3.55126336,1.6706921,1.09963387,1.36162544,404.29790529,903.10378396,982.45161005,682.25806253,682.25806253,3.55126336,2.77285744,0.00333998
