case,payload_mass_kg,payload_power_w,endurance_min,conditional_class,owner_requirement_class,converged,iterations,gross_mass_kg,battery_mass_kg,battery_mass_fraction,total_hover_power_w,required_nominal_battery_energy_wh,installed_nominal_battery_energy_wh,battery_sizing_driver,achievable_endurance_min,equivalent_rotor_diameter_m,battery_discharge_margin,platform_cost_usd,feasibility_burden
reference,1.5,100.0,60.0,INFEASIBLE,UNDETERMINED,False,9,58.920241,45.047556,0.764551,5513.820891,7658.084572,7658.084572,energy,60.0,1.606517,3.22053,12832.42,10.0
reference,2.0,0.0,10.0,MARGINAL,UNDETERMINED,True,54,10.67726,3.457362,0.323806,1182.980069,273.837979,587.751499,power,21.463476,0.745315,1.15,2712.3,1.084919
reference,2.0,0.0,20.0,MARGINAL,UNDETERMINED,True,54,10.67726,3.457362,0.323806,1182.980069,547.675958,587.751499,power,21.463476,0.745315,1.15,2712.3,1.084919
reference,2.0,0.0,30.0,INFEASIBLE,UNDETERMINED,True,83,16.361389,7.350656,0.449268,1799.440509,1249.611464,1249.611464,energy,30.0,0.922614,1.600719,3862.34,1.636139
reference,2.0,0.0,45.0,INFEASIBLE,UNDETERMINED,False,21,51.757137,33.257102,0.642561,5427.559022,5653.707314,5653.707314,energy,45.0,1.609863,2.388378,11083.95,10.0
reference,2.0,0.0,60.0,INFEASIBLE,UNDETERMINED,False,9,55.794173,41.868027,0.750401,5124.646509,7117.564596,7117.564596,energy,60.0,1.564081,3.184998,12112.18,10.0
reference,2.0,50.0,10.0,MARGINAL,UNDETERMINED,True,54,10.867975,3.58799,0.330143,1258.011489,291.206363,609.958347,power,20.945914,0.751942,1.15,2750.88,1.100354
reference,2.0,50.0,20.0,MARGINAL,UNDETERMINED,True,54,10.867975,3.58799,0.330143,1258.011489,582.412726,609.958347,power,20.945914,0.751942,1.15,2750.88,1.100354
reference,2.0,50.0,30.0,INFEASIBLE,UNDETERMINED,True,83,17.279106,7.979238,0.461785,1953.317445,1356.470448,1356.470448,energy,30.0,0.948135,1.625597,4048.02,1.727911
reference,2.0,50.0,45.0,INFEASIBLE,UNDETERMINED,False,19,51.498266,33.270226,0.646046,5429.700869,5655.938405,5655.938405,energy,45.0,1.602066,2.402069,11038.46,10.0
reference,2.0,50.0,60.0,INFEASIBLE,UNDETERMINED,False,8,50.705001,38.097523,0.751356,4663.136817,6476.578912,6476.578912,energy,60.0,1.482864,3.207172,11072.21,10.0
reference,2.0,100.0,10.0,MARGINAL,UNDETERMINED,True,54,11.058689,3.718619,0.336262,1333.042908,308.574747,632.165195,power,20.486615,0.75851,1.15,2789.47,1.115789
reference,2.0,100.0,20.0,MARGINAL,UNDETERMINED,True,54,11.05869,3.718619,0.336262,1333.042914,617.149497,632.165198,power,20.486615,0.75851,1.15,2789.47,1.115789
reference,2.0,100.0,30.0,INFEASIBLE,UNDETERMINED,True,83,18.196823,8.60782,0.47304,2107.194381,1463.329431,1463.329431,energy,30.0,0.972988,1.647462,4233.7,1.819682
reference,2.0,100.0,45.0,INFEASIBLE,UNDETERMINED,False,17,50.44908,32.751107,0.649191,5344.980633,5567.688159,5567.688159,energy,45.0,1.581108,2.416464,10833.4,10.0
reference,2.0,100.0,60.0,INFEASIBLE,UNDETERMINED,False,8,54.388256,41.202461,0.757562,5043.181243,7004.418393,7004.418393,energy,60.0,1.534642,3.224733,11838.48,10.0
adverse,0.25,0.0,10.0,INFEASIBLE,UNDETERMINED,False,3,54.834497,46.413442,0.846428,5736.787355,1707.377189,6033.747397,power,35.339276,0.904451,1.15,25931.77,10.0
adverse,0.25,0.0,20.0,INFEASIBLE,UNDETERMINED,False,3,54.834497,46.413442,0.846428,5736.787355,3414.754378,6033.747397,power,35.339276,0.904451,1.15,25931.77,10.0
adverse,0.25,0.0,30.0,INFEASIBLE,UNDETERMINED,False,3,54.834497,46.413442,0.846428,5736.787355,5122.131567,6033.747397,power,35.339276,0.904451,1.15,25931.77,10.0
adverse,0.25,0.0,45.0,INFEASIBLE,UNDETERMINED,False,3,84.169827,78.523107,0.932913,7621.976217,10208.003861,10208.003861,energy,45.0,1.043539,1.462533,38035.1,10.0
